index,certificateId,studentName,program,issueDate,file,pdfBytes,rawSha256,canonicalSha256
0,RTU-2026-CS-000000,Hasan Turan,Computer Systems,2026-01-01,cert_RTU-2026-CS-000000.pdf,1376,ef16fb6123c14fa4d5882bc760ce50cb8fdbf79240e3e12b8963c57dccc58ebc,e55bbb3e926a563c05ca5be54cbaa3ba44fdebd6b6f756b68b12a4f6818308cc
1,RTU-2026-CS-000001,Elina Berzina,Information Technology,2026-02-02,cert_RTU-2026-CS-000001.pdf,1390,3bc2d437606283ba46a331b9e55bc083bb0c29df9410808490bf7547e20f4c35,76643b64bc21e956890de1f170829f48dbd9df31278dd843ffd82890d3b7117f
2,RTU-2026-CS-000002,Janis Ozols,Applied Computer Science,2026-03-03,cert_RTU-2026-CS-000002.pdf,1392,a00e7987dc888116bcd800b657245e88b777eb09884c2831ea3eb19a5a5bac28,cadfb1e0f515b11cfb03e43cbf27cbd64e1396cdc258c06d72acb5b06271a133
3,RTU-2026-CS-000003,Sofia Kalnina,Electronics,2026-04-04,cert_RTU-2026-CS-000003.pdf,1364,b9dc862653bfbc71e3acd1ab9e1640d9af9af2a3c5e05740bac12c02d4fc9172,70f0ffa95701a1504ec9a0d51c9bf0999a15d04d616afa9ff80c7fa6496078fe
4,RTU-2026-CS-000004,Marko Petrov,Telecommunications,2026-05-05,cert_RTU-2026-CS-000004.pdf,1378,0105fc196bdde9f3bdbb517e881fbcc7da63cdb72c8ba18cc63aff629f3adb28,84381853d463fe4bac36bf8dc93a178a477a2fb94f65d9c28f2cba77361dfc98
5,RTU-2026-CS-000005,Liga Liepa,Computer Systems,2026-06-06,cert_RTU-2026-CS-000005.pdf,1388,335accc69552dd83224e9f211009041b3563f8d443bf7d2d006e5e50c8b6aaec,704d648a73289a76c3199bdd76c2cabda05e2dca6c0786c41aa99056f7bf4411
6,RTU-2026-CS-000006,Andris Vitols,Information Technology,2026-07-07,cert_RTU-2026-CS-000006.pdf,1391,5d04ee2fdff2ea343b141db554d6ea6a7c05de4bd1d55150bc5f02ffae31a398,511774325a80cb644ab6b7bee2770fcde046022bbfe34990a89c008d3ed4f2c5
7,RTU-2026-CS-000007,Yuki Tanaka,Applied Computer Science,2026-08-08,cert_RTU-2026-CS-000007.pdf,1383,3aaef345fb1d45f30836e8848bd6acbf3c8403b35951ad43d32604305a33d92c,26baa35f17ec5cdac359fdb50582ec6406fbd6f09584f5928570cf76b0e0cc41
8,RTU-2026-CS-000008,Omar Haddad,Electronics,2026-09-09,cert_RTU-2026-CS-000008.pdf,1363,01aa7be96d79d7e16e9d5fcde517f0d7458599ee8fd1c74a7931898e23a3b6bd,9c1eb8898da072e843fad54a8595b07a6c5dfdd2f22da2ed53c78044f640e7f5
9,RTU-2026-CS-000009,Anna Novak,Telecommunications,2026-10-10,cert_RTU-2026-CS-000009.pdf,1389,37e32e22f249927edcaa7c8dc9b4b61100e46821e21bdf6de2c630ef120b506f,91c43cca6110b33091c998670f50d051731109f542de92238597d7df7d55ed72
10,RTU-2026-CS-000010,Pavel Kowalski,Computer Systems,2026-11-11,cert_RTU-2026-CS-000010.pdf,1391,d29bf25a70c9ebcbef79b801cfa1172a86fdb78d62c595ee80fc24d8c8e8b49f,34f6dbe2aa053cc59bcc302fc802b45dcb97f9fa1b8363096f6e58c84e69ad05
11,RTU-2026-CS-000011,Nadia Saar,Information Technology,2026-12-12,cert_RTU-2026-CS-000011.pdf,1380,b49461008fce1489eaa93b2757dc88eca046d6b9d73df3dcaa6d6ed284e6ffaa,3a87677098456849e944ae2b006e117c3158f2615bc9cce605826abc3f85d54d
12,RTU-2026-CS-000012,Tomas Lapsa,Applied Computer Science,2026-01-13,cert_RTU-2026-CS-000012.pdf,1389,1761137770c13092305bc075f7834c8d6a56dad05f3df023a221bf5a9b7dc112,229968e5077e557fb70227e25924e74b7a5b699689133900a9863edc4fe47927
13,RTU-2026-CS-000013,Ines Costa,Electronics,2026-02-14,cert_RTU-2026-CS-000013.pdf,1381,2e8ef6f929d3dd8297f00883a9be5c0b42f065b066c77b50ed7451d9823e46c9,7b36895b615074bed6cddd27acf711e9536dbc84ee71f1fa50bf52eb417ceddc
14,RTU-2026-CS-000014,Karl Meyer,Telecommunications,2026-03-15,cert_RTU-2026-CS-000014.pdf,1390,965abedf938b1d103e0253d11c9cf5e7b02d0159ec2812bf4fb2e89f94446e4d,8e75a0b95d99753a1a629cd317dba8b2f6a2223c421328c3f089ed6aa4534750
